FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2015–16,Other psychologists,Financial year,Total,65–74 years,Patients,25889
2015–16,Other psychologists,Financial year,Total,75–84 years,Patients,7677
2015–16,Other psychologists,Financial year,Total,85 years and over,Patients,1835
2015–16,Other psychologists,Financial year,Total,Total,Patients,620498
2015–16,Other psychologists,Financial year,Total,0–4 years,"Patient rate per 1,000 population",4
2015–16,Other psychologists,Financial year,Total,5–11 years,"Patient rate per 1,000 population",26
2015–16,Other psychologists,Financial year,Total,12–17 years,"Patient rate per 1,000 population",36
2015–16,Other psychologists,Financial year,Total,18–24 years,"Patient rate per 1,000 population",33
2015–16,Other psychologists,Financial year,Total,25–34 years,"Patient rate per 1,000 population",33
2015–16,Other psychologists,Financial year,Total,35–44 years,"Patient rate per 1,000 population",35
2015–16,Other psychologists,Financial year,Total,45–54 years,"Patient rate per 1,000 population",29
2015–16,Other psychologists,Financial year,Total,55–64 years,"Patient rate per 1,000 population",23
2015–16,Other psychologists,Financial year,Total,65–74 years,"Patient rate per 1,000 population",13
2015–16,Other psychologists,Financial year,Total,75–84 years,"Patient rate per 1,000 population",7
2015–16,Other psychologists,Financial year,Total,85 years and over,"Patient rate per 1,000 population",4
2015–16,Other psychologists,Financial year,Total,Total,"Patient rate per 1,000 population",26
2015–16,Other psychologists,Financial year,Total,0–4 years,Services,19029
2015–16,Other psychologists,Financial year,Total,5–11 years,Services,250444
2015–16,Other psychologists,Financial year,Total,12–17 years,Services,263109
2015–16,Other psychologists,Financial year,Total,18–24 years,Services,302788
2015–16,Other psychologists,Financial year,Total,25–34 years,Services,484934
2015–16,Other psychologists,Financial year,Total,35–44 years,Services,474273
2015–16,Other psychologists,Financial year,Total,45–54 years,Services,400821
2015–16,Other psychologists,Financial year,Total,55–64 years,Services,281751
2015–16,Other psychologists,Financial year,Total,65–74 years,Services,112679
2015–16,Other psychologists,Financial year,Total,75–84 years,Services,31792
2015–16,Other psychologists,Financial year,Total,85 years and over,Services,7388
2015–16,Other psychologists,Financial year,Total,Total,Services,2629008
2015–16,Other psychologists,Financial year,Total,0–4 years,"Service rate per 1,000 population",12
2015–16,Other psychologists,Financial year,Total,5–11 years,"Service rate per 1,000 population",118
2015–16,Other psychologists,Financial year,Total,12–17 years,"Service rate per 1,000 population",154
2015–16,Other psychologists,Financial year,Total,18–24 years,"Service rate per 1,000 population",132
2015–16,Other psychologists,Financial year,Total,25–34 years,"Service rate per 1,000 population",136
2015–16,Other psychologists,Financial year,Total,35–44 years,"Service rate per 1,000 population",147
2015–16,Other psychologists,Financial year,Total,45–54 years,"Service rate per 1,000 population",128
2015–16,Other psychologists,Financial year,Total,55–64 years,"Service rate per 1,000 population",102
2015–16,Other psychologists,Financial year,Total,65–74 years,"Service rate per 1,000 population",55
2015–16,Other psychologists,Financial year,Total,75–84 years,"Service rate per 1,000 population",29
2015–16,Other psychologists,Financial year,Total,85 years and over,"Service rate per 1,000 population",16
2015–16,Other psychologists,Financial year,Total,Total,"Service rate per 1,000 population",110
2015–16,Other allied health providers,July to September,Male,0–4 years,Patients,403
2015–16,Other allied health providers,July to September,Male,5–11 years,Patients,2596
2015–16,Other allied health providers,July to September,Male,12–17 years,Patients,1342
2015–16,Other allied health providers,July to September,Male,18–24 years,Patients,1157
2015–16,Other allied health providers,July to September,Male,25–34 years,Patients,1610
2015–16,Other allied health providers,July to September,Male,35–44 years,Patients,1838
2015–16,Other allied health providers,July to September,Male,45–54 years,Patients,1619
2015–16,Other allied health providers,July to September,Male,55–64 years,Patients,1124
2015–16,Other allied health providers,July to September,Male,65–74 years,Patients,456
2015–16,Other allied health providers,July to September,Male,75–84 years,Patients,189
2015–16,Other allied health providers,July to September,Male,85 years and over,Patients,110
2015–16,Other allied health providers,July to September,Male,Total,Patients,12444
2015–16,Other allied health providers,July to September,Male,0–4 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,5–11 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,18–24 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,25–34 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,35–44 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,45–54 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,55–64 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,65–74 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,July to September,Male,75–84 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,July to September,Male,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,Total,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,0–4 years,Services,1299
2015–16,Other allied health providers,July to September,Male,5–11 years,Services,7633
2015–16,Other allied health providers,July to September,Male,12–17 years,Services,3514
2015–16,Other allied health providers,July to September,Male,18–24 years,Services,2902
2015–16,Other allied health providers,July to September,Male,25–34 years,Services,3967
2015–16,Other allied health providers,July to September,Male,35–44 years,Services,4636
2015–16,Other allied health providers,July to September,Male,45–54 years,Services,4049
2015–16,Other allied health providers,July to September,Male,55–64 years,Services,2773
2015–16,Other allied health providers,July to September,Male,65–74 years,Services,1114
2015–16,Other allied health providers,July to September,Male,75–84 years,Services,452
2015–16,Other allied health providers,July to September,Male,85 years and over,Services,298
2015–16,Other allied health providers,July to September,Male,Total,Services,32637
2015–16,Other allied health providers,July to September,Male,0–4 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,5–11 years,"Service rate per 1,000 population",7
2015–16,Other allied health providers,July to September,Male,12–17 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Male,18–24 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,25–34 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,35–44 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Male,45–54 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Male,55–64 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,65–74 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,75–84 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Male,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Male,Total,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Female,0–4 years,Patients,150
2015–16,Other allied health providers,July to September,Female,5–11 years,Patients,1285
2015–16,Other allied health providers,July to September,Female,12–17 years,Patients,2002
2015–16,Other allied health providers,July to September,Female,18–24 years,Patients,2238
2015–16,Other allied health providers,July to September,Female,25–34 years,Patients,3384
2015–16,Other allied health providers,July to September,Female,35–44 years,Patients,4070
2015–16,Other allied health providers,July to September,Female,45–54 years,Patients,3482
2015–16,Other allied health providers,July to September,Female,55–64 years,Patients,2390
2015–16,Other allied health providers,July to September,Female,65–74 years,Patients,1093
2015–16,Other allied health providers,July to September,Female,75–84 years,Patients,443
2015–16,Other allied health providers,July to September,Female,85 years and over,Patients,273
2015–16,Other allied health providers,July to September,Female,Total,Patients,20810
2015–16,Other allied health providers,July to September,Female,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,July to September,Female,5–11 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Female,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,18–24 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,25–34 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,35–44 years,"Patient rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Female,45–54 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,55–64 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,65–74 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Female,75–84 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Female,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Female,Total,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,0–4 years,Services,461
2015–16,Other allied health providers,July to September,Female,5–11 years,Services,3618
2015–16,Other allied health providers,July to September,Female,12–17 years,Services,5155
2015–16,Other allied health providers,July to September,Female,18–24 years,Services,5480
2015–16,Other allied health providers,July to September,Female,25–34 years,Services,8669
2015–16,Other allied health providers,July to September,Female,35–44 years,Services,10234
2015–16,Other allied health providers,July to September,Female,45–54 years,Services,8971
2015–16,Other allied health providers,July to September,Female,55–64 years,Services,5924
2015–16,Other allied health providers,July to September,Female,65–74 years,Services,2680
2015–16,Other allied health providers,July to September,Female,75–84 years,Services,1115
2015–16,Other allied health providers,July to September,Female,85 years and over,Services,723
2015–16,Other allied health providers,July to September,Female,Total,Services,53030
2015–16,Other allied health providers,July to September,Female,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Female,5–11 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Female,12–17 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,July to September,Female,18–24 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,July to September,Female,25–34 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,July to September,Female,35–44 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,July to September,Female,45–54 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,July to September,Female,55–64 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Female,65–74 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Female,75–84 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Female,Total,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Total,0–4 years,Patients,553
2015–16,Other allied health providers,July to September,Total,5–11 years,Patients,3881
2015–16,Other allied health providers,July to September,Total,12–17 years,Patients,3344
2015–16,Other allied health providers,July to September,Total,18–24 years,Patients,3395
2015–16,Other allied health providers,July to September,Total,25–34 years,Patients,4994
2015–16,Other allied health providers,July to September,Total,35–44 years,Patients,5908
2015–16,Other allied health providers,July to September,Total,45–54 years,Patients,5101
2015–16,Other allied health providers,July to September,Total,55–64 years,Patients,3514
2015–16,Other allied health providers,July to September,Total,65–74 years,Patients,1549
2015–16,Other allied health providers,July to September,Total,75–84 years,Patients,632
2015–16,Other allied health providers,July to September,Total,85 years and over,Patients,383
2015–16,Other allied health providers,July to September,Total,Total,Patients,33254
2015–16,Other allied health providers,July to September,Total,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,July to September,Total,5–11 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,18–24 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,25–34 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,35–44 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,45–54 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,55–64 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,65–74 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,75–84 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,Total,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,0–4 years,Services,1760
2015–16,Other allied health providers,July to September,Total,5–11 years,Services,11251
2015–16,Other allied health providers,July to September,Total,12–17 years,Services,8669
2015–16,Other allied health providers,July to September,Total,18–24 years,Services,8382
2015–16,Other allied health providers,July to September,Total,25–34 years,Services,12636
2015–16,Other allied health providers,July to September,Total,35–44 years,Services,14870
2015–16,Other allied health providers,July to September,Total,45–54 years,Services,13020
2015–16,Other allied health providers,July to September,Total,55–64 years,Services,8697
2015–16,Other allied health providers,July to September,Total,65–74 years,Services,3794
2015–16,Other allied health providers,July to September,Total,75–84 years,Services,1567
2015–16,Other allied health providers,July to September,Total,85 years and over,Services,1021
2015–16,Other allied health providers,July to September,Total,Total,Services,85667
2015–16,Other allied health providers,July to September,Total,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,5–11 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,July to September,Total,12–17 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,July to September,Total,18–24 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Total,25–34 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Total,35–44 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,July to September,Total,45–54 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,July to September,Total,55–64 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,July to September,Total,65–74 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,75–84 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,July to September,Total,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,July to September,Total,Total,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Male,0–4 years,Patients,403
2015–16,Other allied health providers,October to December,Male,5–11 years,Patients,2445
2015–16,Other allied health providers,October to December,Male,12–17 years,Patients,1384
2015–16,Other allied health providers,October to December,Male,18–24 years,Patients,1193
2015–16,Other allied health providers,October to December,Male,25–34 years,Patients,1532
2015–16,Other allied health providers,October to December,Male,35–44 years,Patients,1759
2015–16,Other allied health providers,October to December,Male,45–54 years,Patients,1568
2015–16,Other allied health providers,October to December,Male,55–64 years,Patients,1051
2015–16,Other allied health providers,October to December,Male,65–74 years,Patients,465
2015–16,Other allied health providers,October to December,Male,75–84 years,Patients,194
2015–16,Other allied health providers,October to December,Male,85 years and over,Patients,121
2015–16,Other allied health providers,October to December,Male,Total,Patients,12115
2015–16,Other allied health providers,October to December,Male,0–4 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,5–11 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,18–24 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,25–34 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,35–44 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,45–54 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,55–64 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,65–74 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,October to December,Male,75–84 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,October to December,Male,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,Total,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,0–4 years,Services,1332
2015–16,Other allied health providers,October to December,Male,5–11 years,Services,7531
2015–16,Other allied health providers,October to December,Male,12–17 years,Services,3536
2015–16,Other allied health providers,October to December,Male,18–24 years,Services,2966
2015–16,Other allied health providers,October to December,Male,25–34 years,Services,3849
2015–16,Other allied health providers,October to December,Male,35–44 years,Services,4716
2015–16,Other allied health providers,October to December,Male,45–54 years,Services,3928
2015–16,Other allied health providers,October to December,Male,55–64 years,Services,2703
2015–16,Other allied health providers,October to December,Male,65–74 years,Services,1241
2015–16,Other allied health providers,October to December,Male,75–84 years,Services,516
2015–16,Other allied health providers,October to December,Male,85 years and over,Services,324
2015–16,Other allied health providers,October to December,Male,Total,Services,32642
2015–16,Other allied health providers,October to December,Male,0–4 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,5–11 years,"Service rate per 1,000 population",7
2015–16,Other allied health providers,October to December,Male,12–17 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Male,18–24 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Male,25–34 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,35–44 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Male,45–54 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Male,55–64 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,65–74 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,75–84 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Male,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Male,Total,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Female,0–4 years,Patients,184
2015–16,Other allied health providers,October to December,Female,5–11 years,Patients,1295
2015–16,Other allied health providers,October to December,Female,12–17 years,Patients,2180
2015–16,Other allied health providers,October to December,Female,18–24 years,Patients,2223
2015–16,Other allied health providers,October to December,Female,25–34 years,Patients,3251
2015–16,Other allied health providers,October to December,Female,35–44 years,Patients,3865
2015–16,Other allied health providers,October to December,Female,45–54 years,Patients,3362
2015–16,Other allied health providers,October to December,Female,55–64 years,Patients,2334
2015–16,Other allied health providers,October to December,Female,65–74 years,Patients,1008
2015–16,Other allied health providers,October to December,Female,75–84 years,Patients,410
2015–16,Other allied health providers,October to December,Female,85 years and over,Patients,261
2015–16,Other allied health providers,October to December,Female,Total,Patients,20373
2015–16,Other allied health providers,October to December,Female,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,October to December,Female,5–11 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Female,12–17 years,"Patient rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Female,18–24 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,25–34 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,35–44 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,45–54 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,55–64 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,65–74 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Female,75–84 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Female,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Female,Total,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,0–4 years,Services,541
2015–16,Other allied health providers,October to December,Female,5–11 years,Services,3851
2015–16,Other allied health providers,October to December,Female,12–17 years,Services,5777
2015–16,Other allied health providers,October to December,Female,18–24 years,Services,5644
2015–16,Other allied health providers,October to December,Female,25–34 years,Services,8292
2015–16,Other allied health providers,October to December,Female,35–44 years,Services,9987
2015–16,Other allied health providers,October to December,Female,45–54 years,Services,8656
2015–16,Other allied health providers,October to December,Female,55–64 years,Services,6076
2015–16,Other allied health providers,October to December,Female,65–74 years,Services,2522
2015–16,Other allied health providers,October to December,Female,75–84 years,Services,1000
2015–16,Other allied health providers,October to December,Female,85 years and over,Services,714
2015–16,Other allied health providers,October to December,Female,Total,Services,53060
2015–16,Other allied health providers,October to December,Female,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Female,5–11 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Female,12–17 years,"Service rate per 1,000 population",7
2015–16,Other allied health providers,October to December,Female,18–24 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Female,25–34 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Female,35–44 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,October to December,Female,45–54 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Female,55–64 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Female,65–74 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,75–84 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Female,Total,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Total,0–4 years,Patients,587
2015–16,Other allied health providers,October to December,Total,5–11 years,Patients,3740
2015–16,Other allied health providers,October to December,Total,12–17 years,Patients,3564
2015–16,Other allied health providers,October to December,Total,18–24 years,Patients,3416
2015–16,Other allied health providers,October to December,Total,25–34 years,Patients,4783
2015–16,Other allied health providers,October to December,Total,35–44 years,Patients,5624
2015–16,Other allied health providers,October to December,Total,45–54 years,Patients,4930
2015–16,Other allied health providers,October to December,Total,55–64 years,Patients,3385
2015–16,Other allied health providers,October to December,Total,65–74 years,Patients,1473
2015–16,Other allied health providers,October to December,Total,75–84 years,Patients,604
2015–16,Other allied health providers,October to December,Total,85 years and over,Patients,382
2015–16,Other allied health providers,October to December,Total,Total,Patients,32488
2015–16,Other allied health providers,October to December,Total,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,October to December,Total,5–11 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,18–24 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,25–34 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,35–44 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,45–54 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,55–64 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,65–74 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,75–84 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,Total,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,0–4 years,Services,1873
2015–16,Other allied health providers,October to December,Total,5–11 years,Services,11382
2015–16,Other allied health providers,October to December,Total,12–17 years,Services,9313
2015–16,Other allied health providers,October to December,Total,18–24 years,Services,8610
2015–16,Other allied health providers,October to December,Total,25–34 years,Services,12141
2015–16,Other allied health providers,October to December,Total,35–44 years,Services,14703
2015–16,Other allied health providers,October to December,Total,45–54 years,Services,12584
2015–16,Other allied health providers,October to December,Total,55–64 years,Services,8779
2015–16,Other allied health providers,October to December,Total,65–74 years,Services,3763
2015–16,Other allied health providers,October to December,Total,75–84 years,Services,1516
2015–16,Other allied health providers,October to December,Total,85 years and over,Services,1038
2015–16,Other allied health providers,October to December,Total,Total,Services,85702
2015–16,Other allied health providers,October to December,Total,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,5–11 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Total,12–17 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Total,18–24 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Total,25–34 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Total,35–44 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,October to December,Total,45–54 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,October to December,Total,55–64 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,October to December,Total,65–74 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,75–84 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,October to December,Total,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,October to December,Total,Total,"Service rate per 1,000 population",4
2015–16,Other allied health providers,January to March,Male,0–4 years,Patients,384
2015–16,Other allied health providers,January to March,Male,5–11 years,Patients,2131
2015–16,Other allied health providers,January to March,Male,12–17 years,Patients,1299
2015–16,Other allied health providers,January to March,Male,18–24 years,Patients,1213
2015–16,Other allied health providers,January to March,Male,25–34 years,Patients,1616
2015–16,Other allied health providers,January to March,Male,35–44 years,Patients,1764
2015–16,Other allied health providers,January to March,Male,45–54 years,Patients,1580
2015–16,Other allied health providers,January to March,Male,55–64 years,Patients,1075
2015–16,Other allied health providers,January to March,Male,65–74 years,Patients,500
2015–16,Other allied health providers,January to March,Male,75–84 years,Patients,217
2015–16,Other allied health providers,January to March,Male,85 years and over,Patients,136
2015–16,Other allied health providers,January to March,Male,Total,Patients,11915
2015–16,Other allied health providers,January to March,Male,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,January to March,Male,5–11 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Male,12–17 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,18–24 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,25–34 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,35–44 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,45–54 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,55–64 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,65–74 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,January to March,Male,75–84 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,January to March,Male,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,Total,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,0–4 years,Services,1096
2015–16,Other allied health providers,January to March,Male,5–11 years,Services,6093
2015–16,Other allied health providers,January to March,Male,12–17 years,Services,3095
2015–16,Other allied health providers,January to March,Male,18–24 years,Services,2961
2015–16,Other allied health providers,January to March,Male,25–34 years,Services,4024
2015–16,Other allied health providers,January to March,Male,35–44 years,Services,4405
2015–16,Other allied health providers,January to March,Male,45–54 years,Services,4075
2015–16,Other allied health providers,January to March,Male,55–64 years,Services,2708
2015–16,Other allied health providers,January to March,Male,65–74 years,Services,1288
2015–16,Other allied health providers,January to March,Male,75–84 years,Services,612
2015–16,Other allied health providers,January to March,Male,85 years and over,Services,421
2015–16,Other allied health providers,January to March,Male,Total,Services,30778
2015–16,Other allied health providers,January to March,Male,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,5–11 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,January to March,Male,12–17 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,January to March,Male,18–24 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Male,25–34 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Male,35–44 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Male,45–54 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Male,55–64 years,"Service rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Male,65–74 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,75–84 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Male,85 years and over,"Service rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Male,Total,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Female,0–4 years,Patients,177
2015–16,Other allied health providers,January to March,Female,5–11 years,Patients,1193
2015–16,Other allied health providers,January to March,Female,12–17 years,Patients,1981
2015–16,Other allied health providers,January to March,Female,18–24 years,Patients,2243
